"Prestador de serviço";"Exames";"Ins:mat. acelular";"Ins:pres. sangue";"Ins:pres. piocitos";"Ins:pres.art.desec";"Ins:pres.cont.exte";"Ins:pres.sup.celul";"Ins:Outros";" ASC-US";" ASC-H";"Les IE Baixo Grau";"Les IEp Alto Grau";"Exames Alterados"
"5210917 BIOANALISE WM";"3732";"0";"3";"11";"99";"0";"14";"1";"30";"16";"19";"6";"81"
"5258138 EDELWEISS CLINICA DE DIAGNOSTICOS";"27809";"5";"8";"6";"13";"0";"0";"0";"331";"41";"103";"32";"582"
"5329922 CENTRO DE MEDICINA DIAGNOSTICA";"8478";"19";"10";"3";"11";"0";"1";"0";"67";"35";"49";"15";"174"
"5362423 BIOCITO";"5331";"13";"5";"12";"1";"0";"0";"0";"47";"15";"2";"3";"70"
"5753058 LABORATORIO DE PATOLOGIA ROCHA E GONZATTI LTDA";"8563";"1";"0";"0";"2";"0";"0";"0";"79";"2";"81";"7";"183"
"5851009 ICAP";"12011";"4";"3";"1";"0";"0";"0";"1";"460";"154";"120";"62";"812"
"5893046 LABORATORIO NUCLEO";"4080";"1";"0";"0";"0";"0";"0";"2";"21";"13";"48";"13";"103"
"6123791 MEDICINA DIAGNOSTICA";"9061";"0";"1";"0";"0";"0";"0";"1";"115";"28";"112";"17";"278"
"6248624 LABORATORIO LABSUL";"12374";"2";"1";"0";"5";"1";"0";"1";"256";"5";"44";"5";"359"
"6258603 LABORATORIO OSVALDO CRUZ BOSSOROCA";"6816";"0";"0";"0";"0";"0";"0";"0";"41";"2";"22";"3";"69"
"6269680 INSTITUTO DE ANATOMIA PATOLOGIA E CITOPATOLOGIA DKJ";"20979";"1";"1";"0";"2";"0";"0";"0";"631";"49";"10";"6";"740"
"6534694 LABORATORIO CITO";"17179";"3";"5";"1";"53";"15";"0";"0";"230";"15";"154";"30";"433"
"6771114 CITOMED LABORATORIO DE CITOLOGIA CLINICA LTDA";"3199";"1";"4";"1";"10";"1";"0";"0";"115";"9";"41";"16";"190"
"7160518 LABORATORIO DE ANALISES CLINICAS SANTIAGO DO BOQUEIRAO LTDA";"2164";"15";"15";"24";"59";"2";"8";"1";"96";"21";"19";"10";"160"
"7176090 LAB ANATOP CITOP ZANELLA LTDA";"29323";"105";"133";"458";"560";"4";"97";"367";"424";"32";"145";"50";"667"
"Total";"393160";"496";"484";"772";"1728";"40";"150";"437";"5282";"997";"2284";"871";"10078"
