"Prestador de serviço";"Exames";"Ins:mat. acelular";"Ins:pres. sangue";"Ins:pres. piocitos";"Ins:pres.art.desec";"Ins:pres.cont.exte";"Ins:pres.sup.celul";"Ins:Outros";" ASC-US";" ASC-H";"Les IE Baixo Grau";"Les IEp Alto Grau";"Exames Alterados"
"2729822 LABORMED ROLANDIA";"5059";"0";"4";"2";"0";"0";"0";"2";"86";"0";"19";"1";"108"
"2731940 CIALAB";"8683";"3";"2";"1";"9";"0";"0";"0";"50";"11";"84";"5";"157"
"2734230 LABORATORIO SANTA TEREZINHA";"10852";"63";"39";"68";"35";"1";"15";"38";"92";"25";"33";"14";"174"
"2736543 ANATOM";"12385";"5";"0";"0";"0";"0";"0";"0";"7";"11";"24";"13";"63"
"2738570 LABORATORIO ANALISA";"242";"0";"0";"0";"0";"0";"0";"0";"5";"1";"3";"0";"9"
"2738589 LABORATORIO APC CASCAVEL";"7170";"5";"0";"1";"1";"0";"0";"1";"60";"54";"72";"65";"267"
"2741989 HOSPITAL DE CARIDADE SAO VICENTE DE PAULO";"64";"0";"1";"0";"0";"0";"0";"0";"1";"3";"2";"9";"22"
"2754053 LABORATORIO PASTEUR LTDA";"1848";"3";"0";"1";"1";"0";"0";"0";"34";"57";"17";"46";"160"
"2781859 HOSPITAL UNIVERSITARIO REGIONAL DO NORTE DO PARANA";"521";"1";"3";"0";"1";"0";"0";"0";"5";"3";"16";"17";"45"
"2783010 PATOLOGIA MEDICA DIAGNOSTICO PESQUISA E CONSULTORIA";"17619";"9";"1";"0";"0";"0";"0";"0";"129";"17";"76";"45";"274"
"2810387 LABORATORIO APC DE TOLEDO";"16123";"15";"1";"0";"2";"0";"0";"0";"139";"86";"186";"81";"500"
"3087751 LABORATORIO MASTER";"10992";"13";"8";"0";"38";"0";"0";"0";"21";"8";"4";"0";"36"
"3141195 CPD CITOLOGIA E PATOLOGIA DIAGNOSTICA";"5539";"3";"3";"0";"0";"0";"0";"0";"31";"5";"2";"4";"55"
"3155986 LABORATORIO SAO MARCOS";"12465";"2";"0";"0";"1";"0";"0";"0";"136";"85";"65";"6";"293"
"3293203 LABORATORIO SAO CAMILO";"20129";"9";"4";"2";"8";"0";"0";"0";"200";"39";"183";"36";"474"
"3510247 CITOPAT PRESTADORA SERV MEDICO LAUDOS DE PATOLOGIA S C";"13479";"7";"0";"0";"12";"0";"0";"0";"261";"53";"35";"25";"404"
"3554309 HISTOCENTER CENTRO DE ANATOMIA PAT E CITOPATOLOGIA";"8162";"4";"1";"5";"35";"108";"1";"2";"88";"26";"19";"29";"205"
"3823962 PHD PATOLOGIA HUMANA DIAGNOSTICA";"18054";"20";"10";"4";"37";"2";"0";"1";"92";"77";"58";"38";"289"
"5205905 PREVENCAO E DIAGNOSE";"4568";"0";"0";"0";"2";"0";"0";"0";"34";"30";"34";"31";"151"
"5662648 LABBOS";"9774";"29";"18";"23";"13";"0";"5";"0";"18";"22";"13";"22";"119"
"5664675 PHD";"14461";"7";"3";"2";"2";"0";"0";"0";"150";"28";"32";"14";"241"
"5931622 CENTRO DE DIAGNOSTICO SANTA CLARA";"14740";"8";"2";"0";"6";"0";"0";"0";"245";"63";"83";"29";"428"
"5991080 LABORATORIO VITA LAB";"8071";"55";"24";"7";"8";"0";"0";"0";"347";"46";"259";"26";"678"
"6019641 LABORATORIO PREVENCAO E DIAGNOSE";"8134";"12";"4";"3";"5";"0";"1";"0";"110";"84";"159";"132";"531"
"6439772 LABORATORIO PREVENCAO E DIAGNOSE";"6436";"17";"1";"0";"12";"0";"0";"0";"21";"12";"43";"19";"103"
"6694349 PREV IN CITO";"7496";"11";"6";"13";"6";"0";"2";"2";"67";"22";"62";"39";"206"
"6794858 CENTRO DE APOIO EM PATOLOGIA DE GUARAPUAVA";"7992";"8";"2";"0";"0";"1";"0";"0";"119";"31";"61";"50";"290"
"6820158 LABORATORIO PASTEUR DE PATOLOGIA";"4184";"1";"0";"0";"1";"0";"0";"0";"28";"26";"20";"27";"109"
"6867618 LABCELL";"23522";"43";"11";"4";"58";"0";"3";"1";"406";"51";"407";"146";"1046"
"6922392 CITO";"20805";"34";"31";"15";"0";"0";"0";"0";"111";"36";"301";"38";"499"
"7113358 LABORATORIO LOGOS";"12125";"15";"0";"0";"6";"0";"0";"1";"11";"14";"8";"6";"41"
"7256531 CITOMED";"3935";"9";"4";"5";"4";"0";"1";"1";"32";"0";"18";"1";"56"
"Total";"680692";"929";"470";"478";"654";"131";"148";"232";"6738";"1962";"4070";"1949";"15668"
