"Prestador de serviço";"Exames";"Ins:mat. acelular";"Ins:pres. sangue";"Ins:pres. piocitos";"Ins:pres.art.desec";"Ins:pres.cont.exte";"Ins:pres.sup.celul";"Ins:Outros";" ASC-US";" ASC-H";"Les IE Baixo Grau";"Les IEp Alto Grau";"Exames Alterados"
"3157245 HOSPITAL UNIVERSITARIO";"1359";"1";"1";"2";"0";"0";"0";"0";"25";"5";"27";"18";"94"
"3169987 PATHOLOGY DIGNOSTICOS EM MEDICINA LTDA";"1646";"1";"2";"0";"1";"0";"0";"1";"15";"1";"4";"8";"33"
"3409937 BIOCITO";"4682";"6";"28";"13";"129";"4";"1";"0";"30";"9";"6";"3";"48"
"3499472 LABORATORIO PREVENT";"3251";"1";"0";"0";"0";"0";"0";"0";"6";"0";"5";"0";"13"
"3912272 CITOPREVE CONSULTORIA EM PATOLOGIA S S LTDA";"34";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"2"
"3988015 CIP CENTRO INTEGRADO DE PATOLOGIA";"6091";"0";"0";"0";"3";"0";"1";"0";"26";"10";"18";"22";"78"
"4061314 LABORATORIO ANNALAB";"14712";"3";"1";"0";"0";"0";"0";"0";"248";"36";"47";"40";"403"
"5097983 CITOCENTRO";"11738";"32";"37";"119";"37";"5";"0";"1";"292";"17";"60";"54";"431"
"5261279 LABORATORIO VITAL";"1744";"1";"0";"1";"2";"0";"0";"0";"14";"9";"9";"4";"40"
"5370205 LABORATORIO MULHER";"9821";"10";"60";"42";"80";"12";"6";"0";"72";"25";"28";"20";"157"
"5925282 LAB PASTEUR UNIDADE DE COLETA JOACABA";"35371";"58";"8";"2";"96";"0";"0";"0";"163";"61";"19";"39";"311"
"5935369 DNANALISES";"6952";"0";"0";"0";"0";"0";"0";"0";"82";"7";"33";"4";"135"
"6124348 LABORATORIO BIOVIDA";"9677";"44";"17";"21";"1";"0";"0";"3";"119";"8";"79";"35";"242"
"6491847 LABORATORIO SAO JOAO";"2621";"1";"0";"0";"0";"0";"0";"0";"42";"5";"27";"7";"81"
"6493823 LABORATORIO CONTINENTE";"7427";"17";"3";"0";"23";"0";"1";"1";"34";"5";"16";"18";"74"
"6777716 LCP LABORATORIO DE CITOLOGIA E PATOLOGIA";"9035";"4";"1";"0";"0";"0";"0";"0";"35";"16";"21";"5";"79"
"7005849 LABORATORIO HOFFMANN";"361";"1";"1";"0";"1";"0";"1";"2";"8";"0";"0";"0";"8"
"7058616 LABORATORIO PRO VIDA";"3206";"1";"27";"18";"29";"0";"2";"24";"15";"0";"41";"13";"75"
"7115148 HOSPITAL UNIVERSITARIO";"2316";"6";"2";"3";"9";"0";"0";"3";"11";"3";"14";"3";"33"
"9098496 PRIME LABORATORIO CLINICO KOBRASOL";"1915";"8";"3";"5";"0";"0";"0";"0";"14";"1";"15";"3";"33"
"Total";"432552";"406";"329";"375";"1368";"54";"60";"112";"6481";"1686";"2191";"1289";"12519"
