"Prestador de serviço";"Exames";"Ins:mat. acelular";"Ins:pres. sangue";"Ins:pres. piocitos";"Ins:pres.art.desec";"Ins:pres.cont.exte";"Ins:pres.sup.celul";"Ins:Outros";" ASC-US";" ASC-H";"Les IE Baixo Grau";"Les IEp Alto Grau";"Exames Alterados"
"3409937 BIOCITO";"66";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0"
"3499472 LABORATORIO PREVENT";"5479";"0";"2";"0";"0";"0";"0";"0";"12";"0";"2";"2";"24"
"3988015 CIP CENTRO INTEGRADO DE PATOLOGIA";"11557";"2";"7";"4";"30";"0";"0";"0";"63";"33";"48";"79";"226"
"4061314 LABORATORIO ANNALAB";"22715";"7";"2";"0";"0";"1";"0";"0";"263";"42";"67";"42";"439"
"5097983 CITOCENTRO";"21963";"23";"40";"64";"179";"2";"12";"0";"573";"72";"143";"98";"899"
"5261279 LABORATORIO VITAL";"2993";"2";"2";"3";"6";"0";"1";"0";"147";"25";"35";"20";"242"
"5370205 LABORATORIO MULHER";"24154";"18";"212";"136";"417";"53";"70";"0";"343";"186";"183";"101";"856"
"5925282 LAB PASTEUR UNIDADE DE COLETA JOACABA";"53679";"54";"4";"0";"30";"0";"0";"0";"248";"140";"51";"73";"593"
"5935369 DNANALISES";"19319";"2";"0";"0";"0";"0";"0";"1";"224";"18";"159";"50";"459"
"6124348 LABORATORIO BIOVIDA";"18091";"67";"29";"24";"0";"0";"0";"0";"202";"42";"39";"8";"302"
"6491847 LABORATORIO SAO JOAO";"3518";"0";"1";"2";"4";"0";"0";"0";"204";"25";"25";"21";"282"
"6777716 LCP LABORATORIO DE CITOLOGIA E PATOLOGIA";"11492";"18";"2";"2";"2";"2";"0";"2";"113";"38";"57";"8";"216"
"7005849 LABORATORIO HOFFMANN";"3177";"4";"8";"0";"0";"0";"0";"0";"49";"0";"0";"0";"49"
"7058616 LABORATORIO PRO VIDA";"4387";"5";"60";"48";"42";"0";"0";"4";"34";"0";"116";"39";"208"
"7115148 HOSPITAL UNIVERSITARIO";"3393";"4";"0";"2";"13";"0";"1";"0";"27";"24";"41";"9";"119"
"9098496 PRIME LABORATORIO CLINICO KOBRASOL";"17670";"15";"21";"3";"0";"0";"1";"0";"208";"33";"84";"14";"341"
"9208380 PREVENCITO";"20855";"10";"3";"2";"3";"0";"0";"0";"202";"40";"155";"95";"500"
"9258515 LAB MED";"7409";"10";"66";"44";"82";"14";"0";"0";"120";"54";"49";"30";"265"
"9269185 CIS AMAUC";"1490";"0";"0";"0";"0";"0";"0";"0";"54";"2";"6";"0";"66"
"9447601 LATORMES ANATOMIA PATOLOGICA E CITOLOGICA EIRELI ME";"1469";"0";"4";"0";"2";"0";"0";"0";"32";"4";"10";"13";"62"
"Total";"742618";"795";"1267";"1772";"4580";"159";"201";"453";"13121";"3629";"4606";"2424";"25133"
