"Prestador de serviço";"Exames";"Ins:mat. acelular";"Ins:pres. sangue";"Ins:pres. piocitos";"Ins:pres.art.desec";"Ins:pres.cont.exte";"Ins:pres.sup.celul";"Ins:Outros";" ASC-US";" ASC-H";"Les IE Baixo Grau";"Les IEp Alto Grau";"Exames Alterados"
"3488330 LABORATORIO DE PATOLOGIA ROCHA E GONZATTI LTDA";"7769";"5";"0";"0";"0";"0";"0";"1";"33";"0";"33";"1";"70"
"3691314 LABORATORIO DE CITOPATOLOGIA";"1487";"0";"0";"1";"0";"0";"1";"0";"39";"4";"27";"6";"76"
"3771016 DIAGNOSE";"8173";"2";"5";"1";"3";"0";"0";"0";"285";"56";"100";"41";"487"
"3883965 CLINICA DEWES";"4130";"4";"0";"0";"0";"0";"0";"1";"5";"3";"10";"9";"32"
"3971945 LABORATORIO DIAGNOSTIKA";"2720";"0";"2";"3";"0";"0";"0";"0";"8";"7";"26";"13";"55"
"5210917 BIOANALISE WM";"4086";"6";"7";"14";"125";"1";"23";"0";"58";"10";"24";"5";"110"
"5258138 EDELWEISS CLINICA DE DIAGNOSTICOS";"25676";"11";"17";"1";"19";"1";"2";"0";"261";"40";"95";"36";"466"
"5329922 CENTRO DE MEDICINA DIAGNOSTICA";"12859";"27";"11";"1";"6";"1";"2";"1";"69";"31";"62";"29";"199"
"5362423 BIOCITO";"5304";"17";"12";"7";"0";"0";"0";"0";"39";"3";"10";"5";"58"
"5753058 LABORATORIO DE PATOLOGIA ROCHA E GONZATTI LTDA";"8828";"1";"0";"0";"1";"0";"0";"0";"50";"3";"53";"0";"111"
"5851009 ICAP";"9133";"0";"2";"1";"0";"0";"0";"0";"252";"100";"74";"32";"467"
"5893046 LABORATORIO NUCLEO";"384";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"1";"3"
"6123791 MEDICINA DIAGNOSTICA";"9445";"3";"14";"3";"2";"0";"0";"1";"201";"63";"81";"24";"375"
"6248624 LABORATORIO LABSUL";"11746";"3";"1";"1";"11";"9";"0";"0";"281";"2";"36";"3";"370"
"6258603 LABORATORIO OSVALDO CRUZ BOSSOROCA";"6938";"3";"1";"0";"0";"0";"0";"0";"45";"1";"28";"0";"74"
"6269680 INSTITUTO DE ANATOMIA PATOLOGIA E CITOPATOLOGIA DKJ";"24431";"11";"2";"1";"4";"0";"0";"8";"1129";"45";"53";"6";"1363"
"6534694 LABORATORIO CITO";"18918";"2";"2";"1";"97";"0";"0";"3";"347";"14";"200";"19";"580"
"6771114 CITOMED LABORATORIO DE CITOLOGIA CLINICA LTDA";"1832";"0";"2";"3";"2";"1";"0";"0";"68";"7";"28";"11";"122"
"7160518 LABORATORIO DE ANALISES CLINICAS SANTIAGO DO BOQUEIRAO LTDA";"234";"2";"1";"8";"5";"0";"0";"0";"20";"0";"3";"0";"29"
"7176090 LAB ANATOP CITOP ZANELLA LTDA";"27669";"161";"71";"354";"508";"5";"75";"41";"358";"43";"137";"57";"619"
"Total";"363725";"611";"362";"568";"1721";"30";"138";"291";"5447";"835";"1938";"645";"9420"
