"Prestador de serviço";"Exames";"Ins:mat. acelular";"Ins:pres. sangue";"Ins:pres. piocitos";"Ins:pres.art.desec";"Ins:pres.cont.exte";"Ins:pres.sup.celul";"Ins:Outros";" ASC-US";" ASC-H";"Les IE Baixo Grau";"Les IEp Alto Grau";"Exames Alterados"
"2594439 PREVENCAO DIAGNOSE";"7225";"4";"2";"1";"0";"0";"0";"1";"55";"33";"38";"21";"164"
"2639637 DIAGNOSE";"28164";"33";"4";"0";"1";"0";"0";"0";"310";"44";"23";"45";"466"
"2639661 CITOPAR";"47152";"56";"22";"0";"8";"0";"0";"0";"345";"100";"241";"89";"798"
"2698552 EXAME CENTRO DE DIAGNOSTICOS";"15697";"34";"42";"16";"2";"0";"1";"2";"126";"57";"236";"53";"506"
"2729822 LABORMED ROLANDIA";"4657";"1";"10";"3";"0";"0";"0";"1";"40";"0";"11";"0";"52"
"2731940 CIALAB";"9959";"12";"2";"0";"10";"0";"0";"0";"60";"5";"83";"7";"165"
"2734230 LABORATORIO SANTA TEREZINHA";"25475";"81";"71";"61";"91";"8";"12";"74";"174";"71";"81";"33";"371"
"2736543 ANATOM";"388";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"2738368 HOSPITAL UNIVERSITARIO DO OESTE DO PARANA";"139";"1";"5";"3";"2";"0";"1";"0";"6";"2";"8";"1";"17"
"2738589 LABORATORIO APC CASCAVEL";"6786";"7";"0";"1";"1";"0";"0";"0";"64";"45";"58";"53";"234"
"2741989 HOSPITAL DE CARIDADE SAO VICENTE DE PAULO";"143";"0";"0";"0";"1";"0";"0";"0";"6";"4";"5";"10";"33"
"2754053 LABORATORIO PASTEUR LTDA";"1529";"4";"1";"0";"1";"1";"0";"0";"26";"24";"11";"18";"80"
"2781859 HOSPITAL UNIVERSITARIO REGIONAL DO NORTE DO PARANA";"1021";"0";"2";"0";"1";"0";"0";"1";"20";"12";"25";"15";"74"
"2783010 PATOLOGIA MEDICA DIAGNOSTICO PESQUISA E CONSULTORIA";"19443";"2";"0";"0";"1";"0";"0";"0";"97";"21";"58";"71";"257"
"2810387 LABORATORIO APC DE TOLEDO";"1828";"3";"0";"0";"0";"0";"0";"0";"13";"6";"13";"5";"38"
"3087751 LABORATORIO MASTER";"18233";"15";"9";"0";"3";"0";"0";"0";"107";"17";"10";"20";"165"
"3141195 CPD CITOLOGIA E PATOLOGIA DIAGNOSTICA";"5520";"1";"1";"1";"0";"0";"0";"0";"51";"2";"13";"4";"76"
"3155986 LABORATORIO SAO MARCOS";"8245";"1";"1";"0";"1";"0";"0";"1";"66";"18";"31";"0";"117"
"3293203 LABORATORIO SAO CAMILO";"8500";"6";"2";"1";"3";"0";"0";"0";"82";"19";"73";"18";"199"
"3510247 CITOPAT PRESTADORA SERV MEDICO LAUDOS DE PATOLOGIA S C";"12587";"3";"1";"0";"14";"0";"0";"0";"104";"9";"55";"44";"237"
"3554309 HISTOCENTER CENTRO DE ANATOMIA PAT E CITOPATOLOGIA";"16249";"5";"0";"0";"0";"0";"0";"0";"152";"39";"29";"59";"328"
"3823962 PHD PATOLOGIA HUMANA DIAGNOSTICA";"18777";"37";"12";"1";"43";"0";"0";"0";"69";"50";"28";"42";"202"
"5205905 PREVENCAO E DIAGNOSE";"5058";"1";"1";"1";"0";"0";"0";"0";"61";"46";"59";"31";"225"
"5662648 LABBOS";"9742";"22";"12";"15";"3";"1";"1";"1";"20";"12";"7";"18";"96"
"5664675 PHD";"14860";"8";"2";"1";"0";"0";"0";"1";"207";"48";"61";"36";"371"
"5931622 CENTRO DE DIAGNOSTICO SANTA CLARA";"12471";"7";"0";"0";"2";"0";"0";"0";"159";"26";"58";"13";"265"
"5991080 LABORATORIO VITA LAB";"19738";"45";"41";"1";"10";"0";"0";"0";"601";"46";"277";"54";"978"
"6019641 LABORATORIO PREVENCAO E DIAGNOSE";"14198";"18";"5";"7";"14";"0";"2";"2";"154";"115";"196";"145";"689"
"6439772 LABORATORIO PREVENCAO E DIAGNOSE";"1736";"2";"1";"2";"5";"1";"0";"0";"18";"2";"9";"7";"40"
"6694349 PREV IN CITO";"8330";"30";"31";"43";"18";"1";"6";"17";"84";"26";"89";"44";"274"
"6794858 CENTRO DE APOIO EM PATOLOGIA DE GUARAPUAVA";"10378";"4";"1";"1";"1";"0";"0";"0";"257";"50";"85";"61";"486"
"6820158 LABORATORIO PASTEUR DE PATOLOGIA";"3529";"3";"0";"0";"8";"0";"0";"0";"43";"42";"14";"24";"134"
"6867618 LABCELL";"27491";"117";"16";"16";"75";"0";"15";"0";"592";"112";"672";"202";"1638"
"6922392 CITO";"20861";"71";"47";"18";"0";"0";"0";"0";"136";"55";"235";"45";"491"
"7113358 LABORATORIO LOGOS";"18837";"25";"2";"1";"6";"0";"0";"0";"36";"56";"30";"25";"157"
"7256531 CITOMED";"1785";"13";"1";"13";"3";"0";"1";"0";"14";"3";"6";"1";"25"
"Total";"677717";"1141";"561";"485";"671";"14";"101";"313";"7134";"1905";"4153";"2127";"16340"
