"Prestador de serviço";"Exames";"Ins:mat. acelular";"Ins:pres. sangue";"Ins:pres. piocitos";"Ins:pres.art.desec";"Ins:pres.cont.exte";"Ins:pres.sup.celul";"Ins:Outros";" ASC-US";" ASC-H";"Les IE Baixo Grau";"Les IEp Alto Grau";"Exames Alterados"
"3912272 CITOPREVE CONSULTORIA EM PATOLOGIA S S LTDA";"57";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"2"
"3988015 CIP CENTRO INTEGRADO DE PATOLOGIA";"4290";"1";"3";"0";"19";"1";"3";"0";"20";"22";"7";"20";"72"
"4061314 LABORATORIO ANNALAB";"17222";"0";"1";"1";"0";"0";"0";"0";"279";"53";"56";"58";"491"
"5097983 CITOCENTRO";"12914";"27";"31";"94";"33";"0";"0";"0";"295";"14";"86";"52";"452"
"5261279 LABORATORIO VITAL";"3775";"0";"0";"0";"0";"0";"0";"0";"19";"2";"4";"2";"30"
"5370205 LABORATORIO MULHER";"9805";"17";"84";"65";"83";"12";"20";"0";"57";"17";"5";"9";"106"
"5459567 CITOLOGICO";"1201";"0";"0";"0";"1";"0";"0";"0";"27";"1";"9";"7";"44"
"5925282 LAB PASTEUR UNIDADE DE COLETA JOACABA";"23334";"28";"10";"2";"62";"0";"0";"0";"94";"29";"4";"11";"148"
"5935369 DNANALISES";"9395";"2";"0";"0";"0";"0";"0";"0";"83";"7";"39";"5";"137"
"6124348 LABORATORIO BIOVIDA";"9933";"52";"15";"6";"5";"0";"1";"0";"113";"11";"102";"39";"277"
"6491847 LABORATORIO SAO JOAO";"2446";"1";"1";"0";"0";"0";"0";"0";"24";"3";"28";"5";"62"
"6493823 LABORATORIO CONTINENTE";"7126";"7";"3";"2";"12";"0";"3";"1";"34";"5";"19";"4";"63"
"6777716 LCP LABORATORIO DE CITOLOGIA E PATOLOGIA";"8859";"11";"6";"7";"0";"0";"5";"5";"59";"16";"34";"6";"121"
"7005849 LABORATORIO HOFFMANN";"73";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"3"
"7058616 LABORATORIO PRO VIDA";"3314";"5";"12";"5";"33";"0";"2";"7";"29";"1";"28";"11";"73"
"7115148 HOSPITAL UNIVERSITARIO";"2308";"3";"0";"1";"24";"0";"4";"0";"12";"1";"13";"3";"29"
"7481829 SERAPIAO E FIGUEIREDO PATOLOGIA DIAGNOSTICA";"1070";"0";"1";"1";"6";"1";"1";"0";"8";"3";"10";"1";"23"
"Total";"421671";"447";"352";"373";"1586";"78";"84";"82";"5615";"1321";"2029";"1112";"10794"
