"Prestador de serviço";"Exames";"Ins:mat. acelular";"Ins:pres. sangue";"Ins:pres. piocitos";"Ins:pres.art.desec";"Ins:pres.cont.exte";"Ins:pres.sup.celul";"Ins:Outros";" ASC-US";" ASC-H";"Les IE Baixo Grau";"Les IEp Alto Grau";"Exames Alterados"
"5893046 LABORATORIO NUCLEO";"9591";"0";"0";"0";"0";"0";"0";"0";"52";"32";"81";"33";"199"
"6123791 MEDICINA DIAGNOSTICA";"13842";"0";"1";"0";"0";"0";"0";"2";"82";"49";"101";"51";"311"
"6248624 LABORATORIO LABSUL";"35923";"24";"14";"11";"66";"25";"2";"0";"1926";"78";"321";"76";"2566"
"6258603 LABORATORIO OSVALDO CRUZ BOSSOROCA";"8654";"5";"0";"2";"0";"0";"0";"0";"118";"24";"117";"37";"296"
"6269680 INSTITUTO DE ANATOMIA PATOLOGIA E CITOPATOLOGIA DKJ";"35275";"44";"65";"28";"29";"14";"0";"54";"1831";"87";"55";"14";"2555"
"6534694 LABORATORIO CITO";"19679";"1";"2";"2";"8";"2";"0";"0";"333";"18";"158";"20";"529"
"6771114 CITOMED LABORATORIO DE CITOLOGIA CLINICA LTDA";"3308";"2";"0";"0";"24";"0";"0";"0";"203";"7";"72";"15";"305"
"7160518 LABORATORIO DE ANALISES CLINICAS SANTIAGO DO BOQUEIRAO LTDA";"5650";"25";"27";"56";"121";"9";"32";"14";"341";"12";"77";"0";"476"
"7176090 LAB ANATOP CITOP ZANELLA LTDA";"41280";"63";"93";"270";"329";"44";"84";"297";"323";"22";"234";"40";"642"
"9379541 CITOLABOR";"2758";"1";"2";"0";"0";"1";"0";"0";"24";"0";"21";"0";"49"
"9473289 NOVA ERA EM CITOLOGIA";"3076";"8";"8";"10";"4";"0";"8";"0";"18";"8";"36";"8";"74"
"Total";"890159";"736";"749";"818";"1589";"197";"167";"940";"19109";"2217";"6337";"2154";"32441"
